Источники   ;   Sources   ;   来源
Сопротивление обмотки СН [Xmv, Rmv], о.е   ;   MV winding resistance [Xmv, Rmv], p.u   ;   中压绕组电阻 [Xmv, Rmv], p.u
Напряжение короткого замыкания ВН-СН   ;   Short circuit voltage VN-SN   ;   短路电压VN-SN
Сопротивление обмотки ВН* [Xhv, Rhv], о.е   ;   HV winding resistance* [Xhv, Rhv], p.u   ;   高压绕组电阻* [Xhv, Rhv], p.u
Сопротивление обмотки СН* [Xmv, Rmv], о.е   ;   Winding resistance MV* [Xmv, Rmv], p.u   ;   绕组电阻 MV* [Xmv, Rmv], p.u
Вывод нейтрали СН   ;   MV neutral terminal   ;   中压中性点端子
Номинальный ток обмотки СН (rms), А   ;   Rated winding current CH (rms), A   ;   额定绕组电流 CH (rms), A
ЭЦ - Двигатель дизельный (type simple model)   ;   EC - Diesel engine (type simple model)   ;   EC-柴油机（简单型）
Коэффициент усиления пропорционального звена ПИ-регулятора   ;   PI proportional gain6   ;   PI比例增益6
Коэффициент усиления интегрального звена ПИ-регулятора   ;   Integral Gain of the PI Controller   ;   PI 控制器的积分增益
Максимальный момент дизеля, о.е   ;   Maximum diesel torque, p.u   ;   最大柴油机扭矩，p.u
Минимальный момент дизеля, о.е   ;   Minimum diesel torque, r.u   ;   最小柴油机扭矩，r.u
Постоянная времени дизеля, с   ;   Diesel time constant, s   ;   柴油时间常数，s
Начальный момент дизеля, о.е   ;   Diesel initial torque, r.u   ;   柴油机初始扭矩，r.u
ЭЦ - Турбина паровая (type IEEEG1)   ;   EC - Steam turbine (type IEEEG1))   ;   EC - 蒸汽轮机（IEEEG1 型））
ЭЦ - Система возбуждения (type IEEE DC1C)   ;   EC - Excitation system (type IEEE DC1C)   ;   EC - 励磁系统（IEEE DC1C 型）
ЭЦ - Система возбуждения (type simple model using PI-block)9   ;   EC - Excitation system (type simple model using PI-block)0   ;   EC - 励磁系统（使用 PI 块的简单模型）0
Максимальное значение выхода ПИ-регулятора, о.е   ;   The maximum value of the output of the PI controller, p.u   ;   PI控制器输出的最大值，p.u
Минимальное значение выхода ПИ-регулятора, о.е   ;   The minimum value of the output of the PI controller, p.u   ;   PI控制器输出的最小值，p.u
Постоянная времени выходного канала, с   ;   Output channel time constant, sL   ;   输出通道时间常数，sL
ЭЦД - Генератор синхронный с двумя 3-фазными статорными обмотками (1 л. сх.)C   ;   ECD - Synchronous generator with two 3-phase stator windings (1 HP)2   ;   ECD - 具有两个三相定子绕组的同步发电机 (1 HP)2
Активные сопротивления ротора [Rf, R1d, R1q], о.е   ;   Rotor active resistances [Rf, R1d, R1q], r.u.7   ;   转子有源电阻 [Rf、R1d、R1q]、r.u.7
Сопротивления обмотки статора [Xσ1, Xσ2, X12, Rs], о.е.3   ;   Stator winding resistance [Xσ1, Xσ2, X12, Rs], p.u.C   ;   定子绕组电阻 [Xσ1, Xσ2, X12, Rs], p.u.C
Индуктивные сопротивления по продольной оси [Xad, Xσfd, Xσ1d], о.е.H   ;   Inductive reactances along the longitudinal axis [Xad, Xσfd, Xσ1d], r.u   ;   沿纵轴的感抗 [Xad, Xσfd, Xσ1d], r.u
Индуктивные сопротивления по поперечной оси [Xaq, Xσ1q], о.е   ;   Inductive reactances along the transverse axis [Xaq, Xσ1q], r.u.0   ;   沿横轴的感抗 [Xaq, Xσ1q], r.u.0
ЭЦД - Двигатель асинхронный 1-фазный (VBR-model)   ;   ECD - 1-phase asynchronous motor (VBR-model)2   ;   ECD - 1 相异步电机（VBR 型号）2
Отношение чисел витков пусковой и основной обмотокB   ;   The ratio of the number of turns of the starting and main windings6   ;   起动绕组与主绕组匝数之比6
Параметры основной обмотки статора [Lls, Rs], [Гн, Ом]9   ;   Parameters of the main stator winding [Lls, Rs], [H, Ohm]7   ;   主定子绕组参数 [Lls, Rs], [H, Ohm]7
Параметры основной обмотки ротора [Llr, Rr], [Гн, Ом]8   ;   Parameters of the main rotor winding [Llr, Rr], [H, Ohm]6   ;   主转子绕组参数 [Llr, Rr], [H, Ohm]6
Индуктивность намагничивания основной обмотки [Lm], Гн   ;   Main winding magnetizing inductance [Lm], H8   ;   主绕组励磁电感[Lm]，H8
Параметры пусковой обмотки статора [Llsa, Rsa], [Гн, Ом]8   ;   Stator starting winding parameters [Llsa, Rsa], [H, Ohm]   ;   定子起动绕组参数[Llsa、Rsa]、[H、Ohm]
Вид схемы   ;   Diagram view0   ;   图表视图0
Выводы основной обмотки + встроенный конденсатор   ;   Main winding terminals + built-in capacitor   ;   主绕组端子+内置电容
Параметры конденсатора [C, R], [Ф, Ом]   ;   Capacitor parameters [C, R], [F, Ohm]B   ;   电容参数[C,R],[F,Ohm]B
Скорость, при которой отключается конденсатор, о.е. (от р синхр.)D   ;   The speed at which the capacitor is turned off, p.u. (from р sync.)   ;   电容器关闭的速度，p.u. （摘自 р 同步）
Коэффициент вязкого трения, Н·м·с   ;   Viscous friction coefficient, N m s1   ;   粘性摩擦系数，N·m·s1
ЭЦД - Двигатель асинхронный (VBR-model, 1 л. сх.)   ;   ECD - Asynchronous motor (VBR-model, 1 HP)   ;   ECD - 异步电机（VBR 型号，1 HP）
Расчетные значения   ;   Estimated values   ;   估计值
Число контуров на роторе   ;   Number of circuits on the rotor8   ;   转子上的电路数量8
ЭЦД - Двигатель постоянного тока с постоянными магнитами   ;   ECD - Permanent Magnet DC Motor   ;   ECD - 永磁直流电机
Номинальная мощность на валу, Вт   ;   Rated power on the shaft, W   ;   轴上的额定功率，W
Момент инерции, кг·м^2   ;   Moment of inertia, kg m^2)   ;   转动惯量，kg·m^2)
Механические потери [T0, B], [Н·м, Н·м·с]   ;   Mechanical losses [T0, B], [Nm, Nm s]   ;   机械损耗 [T0, B], [Nm, Nm s]
Коэффициент момента, Н·м/А   ;   Torque coefficient, N m/A   ;   扭矩系数，N·m/A
Коэффициент ЭДС, В/с   ;   EMF coefficient, V/s   ;   电动势系数，V/s
ЭЦД - Электрическая дуга   ;   ECD - Electric arc   ;   ECD-电弧
Начальное сопротивление, Ом   ;   Initial resistance, Ohm   ;   初始电阻，欧姆
Модель   ;   Model   ;   模型
Постоянная времени Касси, с   ;   Cassie time constant, s   ;   卡西时间常数，s
Напряжение дуги Касси, В   ;   Cassie arc voltage, V   ;   卡西电弧电压，V
ЭЦД - Короткозамыкатель 3-фазный (1 л. сх.)(   ;   ECD - 3-phase short circuiter (1 l. sh.)   ;   ECD - 三相短路器（1 l. sh.）
Замыкание фазы А   ;   Phase A short circuit   ;   A相短路
Замыкание фазы B   ;   Phase B Short   ;   B相短路
Замыкание фазы C   ;   Closing phase C   ;   结束阶段C
Замыкание на землю   ;   Ground fault   ;   接地故障
Массив состояний   ;   State array   ;   状态数组
Массив времён, с   ;   Array of times, s   ;   时间数组，s
Сопротивление замыкания, Ом   ;   Circuit resistance, Ohm   ;   电路电阻，欧姆
Сопротивление замыкания на землю, Ом   ;   Ground fault resistance, Ohm   ;   接地故障电阻，欧姆
Сопротивление открытого ключа, Ом   ;   Public key resistance, Ohm6   ;   公钥电阻，Ohm6
ЭЦД - Выключатель переменного тока 3-фазный (1 л. сх.)   ;   ECD - AC switch 3-phase   ;   ECD - 三相交流开关
ЭЦД - Ключ 3-фазный (1 л. сх.)   ;   ECD - Key 3-phase (1 l. sh.)   ;   ECD - 钥匙 3 相（1 l. sh.）
Визуализация 3D   ;   3D visualization   ;   3D可视化
Визуализация 3D - Просмотрщик   ;   Visualization 3D - Viewer   ;   可视化 3D - 查看器
Визуализация 3D - Объект   ;   Visualization 3D - Object   ;   可视化 3D - 对象
Интервал перерисовки 3D-модели, с   ;   3D model redrawing interval, s   ;   3D模型重绘间隔，s
Положение ЛСК   ;   LSK position   ;   LSK位置
Углы Эйлера ЛСК центра масс в ГСК, °   ;   Euler angles of the LCS of the center of mass in the HCS, °   ;   HCS 质心的 LCS 欧拉角，°
